Participant,Image,Choice,RT,time_condition
Participant,Image,Response,RT,1s
A3,images/image_31.jpg,,1.0,1s
A3,images/image_32.jpg,left,0.8466318000573665,1s
A3,images/image_33.jpg,up,0.7474216000409797,1s
A3,images/image_34.jpg,left,0.7506277000065893,1s
A3,images/image_35.jpg,left,0.5706031000008807,1s
A3,images/image_31.jpg,up,1.1229356999974698,5s
A3,images/image_32.jpg,left,0.8505673001054674,5s
A3,images/image_33.jpg,up,0.8451077000936493,5s
A3,images/image_34.jpg,left,1.291995600098744,5s
A3,images/image_35.jpg,left,0.4649090999737382,5s
A4,images/image_1.jpg,up,0.9319708000402898,1s
A4,images/image_2.jpg,up,0.8857034000102431,1s
A4,images/image_3.jpg,left,0.5209476000163704,1s
A4,images/image_4.jpg,,1.0,1s
A4,images/image_5.jpg,,1.0,1s
A4,images/image_1.jpg,up,2.8172352999681607,5s
A4,images/image_2.jpg,up,0.8161287000402808,5s
A4,images/image_3.jpg,left,0.9143904000520706,5s
A4,images/image_4.jpg,left,1.526367900078185,5s
A4,images/image_5.jpg,left,1.233847300056368,5s
A4,images/image_6.jpg,up,0.7730911000398919,1s
A4,images/image_7.jpg,,1.0,1s
A4,images/image_8.jpg,,1.0,1s
A4,images/image_9.jpg,left,0.9102711000014096,1s
A4,images/image_10.jpg,,1.0,1s
A4,images/image_6.jpg,up,1.97820699994918,5s
A4,images/image_7.jpg,left,1.235760199953802,5s
A4,images/image_8.jpg,up,1.4758157000178471,5s
A4,images/image_9.jpg,left,1.4583194999722764,5s
A4,images/image_10.jpg,left,2.010165399988182,5s
A4,images/image_11.jpg,left,0.9878784000175074,1s
A4,images/image_12.jpg,left,0.8057133998954669,1s
A4,images/image_13.jpg,left,0.7004393000388518,1s
A4,images/image_14.jpg,left,0.751774900010787,1s
A4,images/image_15.jpg,,1.0,1s
A4,images/image_11.jpg,left,0.8968239000532776,5s
A4,images/image_12.jpg,left,0.6351150999544188,5s
A4,images/image_13.jpg,left,0.5123595000477508,5s
A4,images/image_14.jpg,left,0.4798200000077486,5s
A4,images/image_15.jpg,left,0.6962199999252334,5s
A4,images/image_16.jpg,left,0.9135610999073832,1s
A4,images/image_17.jpg,left,0.4919699999736622,1s
A4,images/image_18.jpg,left,0.8904911000281572,1s
A4,images/image_19.jpg,left,0.9583357999799772,1s
A4,images/image_20.jpg,,1.0,1s
A4,images/image_16.jpg,left,0.8916753000812605,5s
A4,images/image_17.jpg,left,0.8106599999591708,5s
A4,images/image_18.jpg,left,0.9486236999509856,5s
A4,images/image_19.jpg,left,0.7272635999834165,5s
A4,images/image_20.jpg,left,1.911053300020285,5s
A4,images/image_21.jpg,,1.0,1s
A4,images/image_22.jpg,up,0.8585390000371262,1s
A4,images/image_23.jpg,up,0.9554263999452814,1s
A4,images/image_24.jpg,left,0.5696968000847846,1s
A4,images/image_25.jpg,left,0.9312558000674472,1s
A4,images/image_21.jpg,left,1.1938030000310391,5s
A4,images/image_22.jpg,up,2.680506599950604,5s
A4,images/image_23.jpg,up,2.083341300021857,5s
A4,images/image_24.jpg,left,0.6575610999716446,5s
A4,images/image_25.jpg,left,0.852926200022921,5s
A4,images/image_26.jpg,left,0.9207693999633192,1s
A4,images/image_27.jpg,left,0.7241309001110494,1s
A4,images/image_28.jpg,,1.0,1s
A4,images/image_29.jpg,left,0.8160833999281749,1s
A4,images/image_30.jpg,left,0.8131153000285849,1s
A4,images/image_26.jpg,left,1.0992364999838171,5s
A4,images/image_27.jpg,left,0.928099500015378,5s
A4,images/image_28.jpg,left,0.6765130000421777,5s
A4,images/image_29.jpg,left,0.6045766000170261,5s
A4,images/image_30.jpg,left,0.9444292000262068,5s
A4,images/image_31.jpg,left,0.7536201999755576,1s
A4,images/image_32.jpg,left,0.6993908999720588,1s
A4,images/image_33.jpg,left,0.4514944999245927,1s
A4,images/image_34.jpg,left,0.4880728999851271,1s
A4,images/image_35.jpg,left,0.4818854999030009,1s
A4,images/image_31.jpg,left,0.5561891000252217,5s
A4,images/image_32.jpg,left,0.388723700074479,5s
A4,images/image_33.jpg,left,0.3748952000169083,5s
A4,images/image_34.jpg,left,0.389363499940373,5s
A4,images/image_35.jpg,left,0.4042611999902874,5s
A5,images/image_1.jpg,left,0.6571126999915577,1s
A5,images/image_2.jpg,,1.0,1s
A5,images/image_3.jpg,left,0.6294815000146627,1s
A5,images/image_4.jpg,left,0.4768841000040993,1s
A5,images/image_5.jpg,left,0.5853671999648213,1s
A5,images/image_1.jpg,left,0.6710380999720655,5s
A5,images/image_2.jpg,left,0.6029252000153065,5s
A5,images/image_3.jpg,left,0.5567680000094697,5s
A5,images/image_4.jpg,left,0.8703938000253402,5s
A5,images/image_5.jpg,left,0.7483652000082657,5s
A5,images/image_6.jpg,,1.0,1s
A5,images/image_7.jpg,left,0.7121377000003122,1s
A5,images/image_8.jpg,left,0.7463969000382349,1s
A5,images/image_9.jpg,,1.0,1s
A5,images/image_10.jpg,,1.0,1s
A5,images/image_6.jpg,left,0.663953399984166,5s
A5,images/image_7.jpg,left,0.8775127999833785,5s
A5,images/image_8.jpg,left,0.8826486999751069,5s
A5,images/image_9.jpg,left,1.0409125000005588,5s
A5,images/image_10.jpg,left,1.029604199982714,5s
A5,images/image_11.jpg,left,0.928360599966254,1s
A5,images/image_12.jpg,left,0.8870745999738574,1s
A5,images/image_13.jpg,,1.0,1s
A5,images/image_14.jpg,left,0.059360499959439,1s
A5,images/image_15.jpg,left,0.4627407000516541,1s
A5,images/image_11.jpg,left,0.6866515000001527,5s
A5,images/image_12.jpg,left,0.8200787999667227,5s
A5,images/image_13.jpg,left,0.755653899977915,5s
A5,images/image_14.jpg,left,0.5469513999996707,5s
A5,images/image_15.jpg,,5.0,5s
A5,images/image_16.jpg,left,0.6585707000340335,1s
A5,images/image_17.jpg,left,0.4911972000263631,1s
A5,images/image_18.jpg,,1.0,1s
A5,images/image_19.jpg,left,0.7558108000084758,1s
A5,images/image_20.jpg,left,0.4211546999868005,1s
A5,images/image_16.jpg,left,0.4176296999794431,5s
A5,images/image_17.jpg,left,0.2929064999916591,5s
A5,images/image_18.jpg,up,1.007644699944649,5s
A5,images/image_19.jpg,left,0.7624025999684818,5s
A5,images/image_20.jpg,left,0.8789334000321105,5s
A5,images/image_21.jpg,left,0.7707600999856368,1s
A5,images/image_22.jpg,left,0.5563732000300661,1s
A5,images/image_23.jpg,,1.0,1s
A5,images/image_24.jpg,left,0.864028399984818,1s
A5,images/image_25.jpg,,1.0,1s
A5,images/image_21.jpg,left,0.8083024999941699,5s
A5,images/image_22.jpg,left,0.5623719000141136,5s
A5,images/image_23.jpg,left,0.4965494000352919,5s
A5,images/image_24.jpg,left,0.4109399999724701,5s
A5,images/image_25.jpg,left,0.6304697000305168,5s
A5,images/image_26.jpg,,1.0,1s
A5,images/image_27.jpg,left,0.3085660999640822,1s
A5,images/image_28.jpg,left,0.827525999979116,1s
A5,images/image_29.jpg,,1.0,1s
A5,images/image_30.jpg,left,0.0857539999997243,1s
A5,images/image_26.jpg,left,0.6629944000160322,5s
A5,images/image_27.jpg,left,0.4123706000391394,5s
A5,images/image_28.jpg,left,1.870114499994088,5s
A5,images/image_29.jpg,left,0.665225200005807,5s
A5,images/image_30.jpg,left,1.0112170000211336,5s
A5,images/image_31.jpg,,1.0,1s
A5,images/image_32.jpg,up,0.5905273000244051,1s
A5,images/image_33.jpg,up,0.7232575999805704,1s
A5,images/image_34.jpg,left,0.5186267000390217,1s
A5,images/image_35.jpg,left,0.4275455000461079,1s
A5,images/image_31.jpg,up,2.7345121999969706,5s
A5,images/image_32.jpg,left,1.4539488000446,5s
A5,images/image_33.jpg,left,3.1954764000256546,5s
A5,images/image_34.jpg,left,0.4593440999742597,5s
A5,images/image_35.jpg,left,0.4559481999604031,5s
A6,images/image_1.jpg,left,0.6016481000115164,1s
A6,images/image_2.jpg,left,0.8100718000205234,1s
A6,images/image_3.jpg,,1.0,1s
A6,images/image_4.jpg,,1.0,1s
A6,images/image_5.jpg,left,0.7617423000046983,1s
A6,images/image_1.jpg,left,1.2099773999652823,5s
A6,images/image_2.jpg,left,1.072327599977143,5s
A6,images/image_3.jpg,left,1.0343883999739774,5s
A6,images/image_4.jpg,left,1.068961400014814,5s
A6,images/image_5.jpg,left,0.887525399972219,5s
A6,images/image_6.jpg,,1.0,1s
A6,images/image_7.jpg,,1.0,1s
A6,images/image_8.jpg,,1.0,1s
A6,images/image_9.jpg,left,0.1841020000283606,1s
A6,images/image_10.jpg,left,0.0847430999856442,1s
A6,images/image_6.jpg,left,0.4760272999992594,5s
A6,images/image_7.jpg,left,0.4547738999826833,5s
A6,images/image_8.jpg,left,0.4490607000188902,5s
A6,images/image_9.jpg,left,0.4228136000456288,5s
A6,images/image_10.jpg,left,0.4009718000306748,5s
A6,images/image_11.jpg,,1.0,1s
A6,images/image_12.jpg,left,0.6948102000169456,1s
A6,images/image_13.jpg,left,0.7416286999941804,1s
A6,images/image_14.jpg,left,0.7197365000029095,1s
A6,images/image_15.jpg,left,0.8315884000039659,1s
A6,images/image_11.jpg,left,0.9396817000233568,5s
A6,images/image_12.jpg,left,0.4545470000011846,5s
A6,images/image_13.jpg,left,0.4076177999959327,5s
A6,images/image_14.jpg,left,0.4210722999996505,5s
A6,images/image_15.jpg,left,0.3439897999633103,5s
A6,images/image_16.jpg,left,0.8198329000151716,1s
A6,images/image_17.jpg,left,0.4573974999948405,1s
A6,images/image_18.jpg,left,0.6859736000187695,1s
A6,images/image_19.jpg,left,0.8178249999764375,1s
A6,images/image_20.jpg,left,0.934883499983698,1s
A6,images/image_16.jpg,left,0.8927923000301234,5s
A6,images/image_17.jpg,left,0.4542641000007279,5s
A6,images/image_18.jpg,left,0.6060166999814101,5s
A6,images/image_19.jpg,left,0.570306800014805,5s
A6,images/image_20.jpg,left,0.7217889000312425,5s
A6,images/image_21.jpg,left,0.8130925000295974,1s
A6,images/image_22.jpg,left,0.47922879998805,1s
A6,images/image_23.jpg,left,0.8385563000338152,1s
A6,images/image_24.jpg,left,0.8295716000138782,1s
A6,images/image_25.jpg,,1.0,1s
A6,images/image_21.jpg,left,1.0577189000323417,5s
A6,images/image_22.jpg,left,0.4242730000405572,5s
