Participant,Image,Response,RT
A5,images/image_2.jpg,left,0.6029252000153065
A5,images/image_3.jpg,left,0.5567680000094697
A5,images/image_4.jpg,left,0.8703938000253402
A5,images/image_5.jpg,left,0.7483652000082657
A5,images/image_6.jpg,,1.0
A5,images/image_7.jpg,left,0.7121377000003122
A5,images/image_8.jpg,left,0.7463969000382349
A5,images/image_9.jpg,,1.0
A5,images/image_10.jpg,,1.0
A5,images/image_6.jpg,left,0.663953399984166
A5,images/image_7.jpg,left,0.8775127999833785
A5,images/image_8.jpg,left,0.8826486999751069
A5,images/image_9.jpg,left,1.0409125000005588
A5,images/image_10.jpg,left,1.029604199982714
A5,images/image_11.jpg,left,0.928360599966254
A5,images/image_12.jpg,left,0.8870745999738574
A5,images/image_13.jpg,,1.0
A5,images/image_14.jpg,left,0.059360499959439
A5,images/image_15.jpg,left,0.4627407000516541
A5,images/image_11.jpg,left,0.6866515000001527
A5,images/image_12.jpg,left,0.8200787999667227
A5,images/image_13.jpg,left,0.755653899977915
A5,images/image_14.jpg,left,0.5469513999996707
A5,images/image_15.jpg,,5.0
A5,images/image_16.jpg,left,0.6585707000340335
A5,images/image_17.jpg,left,0.4911972000263631
A5,images/image_18.jpg,,1.0
A5,images/image_19.jpg,left,0.7558108000084758
A5,images/image_20.jpg,left,0.4211546999868005
A5,images/image_16.jpg,left,0.4176296999794431
A5,images/image_17.jpg,left,0.2929064999916591
A5,images/image_18.jpg,up,1.007644699944649
A5,images/image_19.jpg,left,0.7624025999684818
A5,images/image_20.jpg,left,0.8789334000321105
A5,images/image_21.jpg,left,0.7707600999856368
A5,images/image_22.jpg,left,0.5563732000300661
A5,images/image_23.jpg,,1.0
A5,images/image_24.jpg,left,0.864028399984818
A5,images/image_25.jpg,,1.0
A5,images/image_21.jpg,left,0.8083024999941699
A5,images/image_22.jpg,left,0.5623719000141136
A5,images/image_23.jpg,left,0.4965494000352919
A5,images/image_24.jpg,left,0.4109399999724701
A5,images/image_25.jpg,left,0.6304697000305168
A5,images/image_26.jpg,,1.0
A5,images/image_27.jpg,left,0.3085660999640822
A5,images/image_28.jpg,left,0.827525999979116
A5,images/image_29.jpg,,1.0
A5,images/image_30.jpg,left,0.0857539999997243
A5,images/image_26.jpg,left,0.6629944000160322
A5,images/image_27.jpg,left,0.4123706000391394
A5,images/image_28.jpg,left,1.870114499994088
A5,images/image_29.jpg,left,0.665225200005807
A5,images/image_30.jpg,left,1.0112170000211336
A5,images/image_31.jpg,,1.0
A5,images/image_32.jpg,up,0.5905273000244051
A5,images/image_33.jpg,up,0.7232575999805704
A5,images/image_34.jpg,left,0.5186267000390217
A5,images/image_35.jpg,left,0.4275455000461079
A5,images/image_31.jpg,up,2.7345121999969706
A5,images/image_32.jpg,left,1.4539488000446
A5,images/image_33.jpg,left,3.1954764000256546
A5,images/image_34.jpg,left,0.4593440999742597
A5,images/image_35.jpg,left,0.4559481999604031
A6,images/image_1.jpg,left,0.6016481000115164
A6,images/image_2.jpg,left,0.8100718000205234
A6,images/image_3.jpg,,1.0
A6,images/image_4.jpg,,1.0
A6,images/image_5.jpg,left,0.7617423000046983
A6,images/image_1.jpg,left,1.2099773999652823
A6,images/image_2.jpg,left,1.072327599977143
A6,images/image_3.jpg,left,1.0343883999739774
A6,images/image_4.jpg,left,1.068961400014814
A6,images/image_5.jpg,left,0.887525399972219
A6,images/image_6.jpg,,1.0
A6,images/image_7.jpg,,1.0
A6,images/image_8.jpg,,1.0
A6,images/image_9.jpg,left,0.1841020000283606
A6,images/image_10.jpg,left,0.0847430999856442
A6,images/image_6.jpg,left,0.4760272999992594
A6,images/image_7.jpg,left,0.4547738999826833
A6,images/image_8.jpg,left,0.4490607000188902
A6,images/image_9.jpg,left,0.4228136000456288
A6,images/image_10.jpg,left,0.4009718000306748
A6,images/image_11.jpg,,1.0
A6,images/image_12.jpg,left,0.6948102000169456
A6,images/image_13.jpg,left,0.7416286999941804
A6,images/image_14.jpg,left,0.7197365000029095
A6,images/image_15.jpg,left,0.8315884000039659
A6,images/image_11.jpg,left,0.9396817000233568
A6,images/image_12.jpg,left,0.4545470000011846
A6,images/image_13.jpg,left,0.4076177999959327
A6,images/image_14.jpg,left,0.4210722999996505
A6,images/image_15.jpg,left,0.3439897999633103
A6,images/image_16.jpg,left,0.8198329000151716
A6,images/image_17.jpg,left,0.4573974999948405
A6,images/image_18.jpg,left,0.6859736000187695
A6,images/image_19.jpg,left,0.8178249999764375
A6,images/image_20.jpg,left,0.934883499983698
A6,images/image_16.jpg,left,0.8927923000301234
A6,images/image_17.jpg,left,0.4542641000007279
A6,images/image_18.jpg,left,0.6060166999814101
A6,images/image_19.jpg,left,0.570306800014805
A6,images/image_20.jpg,left,0.7217889000312425
A6,images/image_21.jpg,left,0.8130925000295974
A6,images/image_22.jpg,left,0.47922879998805
A6,images/image_23.jpg,left,0.8385563000338152
A6,images/image_24.jpg,left,0.8295716000138782
A6,images/image_25.jpg,,1.0
A6,images/image_21.jpg,left,1.0577189000323417
A6,images/image_22.jpg,left,0.4242730000405572
A6,images/image_23.jpg,left,0.3701243999530561
A6,images/image_24.jpg,left,0.5009177000029013
A6,images/image_25.jpg,left,0.4913906999863684
A6,images/image_26.jpg,,1.0
A6,images/image_27.jpg,,1.0
A6,images/image_28.jpg,,1.0
A6,images/image_29.jpg,,1.0
A6,images/image_30.jpg,,1.0
A6,images/image_26.jpg,left,1.0450243999948725
A6,images/image_27.jpg,left,0.9531199000193736
A6,images/image_28.jpg,left,0.974660799955018
A6,images/image_29.jpg,left,0.949988599983044
A6,images/image_30.jpg,left,1.4745215000002645
A6,images/image_31.jpg,left,0.9182261999812908
A6,images/image_32.jpg,left,0.7963036000146531
A6,images/image_33.jpg,left,0.5575813999748789
A6,images/image_34.jpg,left,0.5837520000059158
A6,images/image_35.jpg,left,0.4180404999642633
A6,images/image_31.jpg,left,0.703201100055594
A6,images/image_32.jpg,left,0.6096788999857381
A6,images/image_33.jpg,left,0.4188861000002362
A6,images/image_34.jpg,left,0.3859672000398859
A6,images/image_35.jpg,left,0.5510527000296861
A7,images/image_1.jpg,up,0.6650454000337049
A7,images/image_2.jpg,left,0.8152316999621689
A7,images/image_3.jpg,left,0.9769994000671433
A7,images/image_4.jpg,left,0.957420999999158
A7,images/image_5.jpg,up,0.7296949999872595
A7,images/image_1.jpg,left,0.614572299993597
A7,images/image_2.jpg,up,0.3715802000369876
A7,images/image_3.jpg,left,0.60683359997347
A7,images/image_4.jpg,left,0.6615302000427619
A7,images/image_5.jpg,left,0.3156135000754148
A7,images/image_6.jpg,left,0.7563601000001654
A7,images/image_7.jpg,up,0.5887667000060901
A7,images/image_8.jpg,up,0.5630144999595359
A7,images/image_9.jpg,up,0.3237538000103086
A7,images/image_10.jpg,up,0.556722900015302
A7,images/image_6.jpg,up,0.7418667000019923
A7,images/image_7.jpg,up,0.5199188999831676
A7,images/image_8.jpg,up,0.5910652000457048
A7,images/image_9.jpg,up,0.5677366000600159
A7,images/image_10.jpg,left,0.6131753000663593
A7,images/image_11.jpg,,1.0
A7,images/image_12.jpg,up,0.9286134999711066
A7,images/image_13.jpg,,1.0
A7,images/image_14.jpg,left,0.8365565999411047
A7,images/image_15.jpg,,1.0
A7,images/image_11.jpg,left,1.1090158000588417
A7,images/image_12.jpg,left,0.451718800002709
A7,images/image_13.jpg,left,0.5562974000349641
A7,images/image_14.jpg,up,0.3089340000879019
A7,images/image_15.jpg,left,0.5826820000074804
A7,images/image_16.jpg,left,0.7799656999995932
A7,images/image_17.jpg,left,0.9735565000446512
A7,images/image_18.jpg,left,0.9083800999214872
A7,images/image_19.jpg,up,0.6731741999974474
A7,images/image_20.jpg,,1.0
